Wavelength(A),Flux(erg/s/cm2),Original(erg/s/cm2),Flux_factor(er/s/cm2),Flux_corrected(erg/s/cm2)
5326.346834152776,517.4315605163823,1109.099,1.2225533347419492e-12,4.549509026570073e-11
5327.399131319703,504.1367625046311,1080.602,1.191141258470903e-12,4.428037790919147e-11
5328.45142848563,437.84905917241036,938.5163,1.034521023168063e-12,3.841837289297097e-11
5329.503725652557,381.79751521472167,818.3715,9.020861134874085e-13,3.346566831224588e-11
5330.556022819483,437.1203808899753,936.9544,1.0327993499418377e-12,3.8275386160414944e-11
5331.608319985409,401.0662248333325,859.6734,9.476129560651933e-13,3.5082214338972594e-11
5332.660617152335,407.1391814490663,872.6906,9.619617394190714e-13,3.557676474239633e-11
5333.712914319262,375.8095143037265,805.5364,8.879380578974688e-13,3.280531647720244e-11
5334.765211486189,397.7094247963407,852.4782,9.396817292277917e-13,3.468131172622738e-11
5335.817508652116,368.8811223216612,790.6856,8.715681079979688e-13,3.213434835936607e-11
5336.869805819043,405.2004092240098,868.5349,9.57380935637635e-13,3.526197558643132e-11
5337.922102985969,394.5326132870162,845.6688,9.321757674718149e-13,3.429838226224244e-11
5338.974400151897,416.6320600504529,893.0383,9.843908900082692e-13,3.6182422401806233e-11
5340.026697318824,408.24379222396965,875.0583,9.645716412679308e-13,3.541759220862755e-11
5341.07899448575,413.8452703377324,887.0649,9.778064461581282e-13,3.5866763969189785e-11
5342.131291651677,401.5935007119471,860.8036,9.488587689087043e-13,3.476929573267903e-11
5343.183588818603,416.60850012135177,892.9878,9.843352241539094e-13,3.603235350069201e-11
5344.235885985529,428.17469913695817,917.7796,1.0116630801561741e-12,3.699483153127152e-11
5345.288183151457,396.1120149499626,849.0542,9.359074740727903e-13,3.4189589282784425e-11
5346.340480318383,378.7790917436114,811.9016,8.949543805939093e-13,3.2660132867892405e-11
5347.39277748531,384.6966461339282,824.5857,9.089359897678426e-13,3.3136504652206606e-11
5348.445074652236,381.8845236657583,818.558,9.022916913455884e-13,3.2860711830982387e-11
5349.497371818163,408.931042353847,876.5314,9.661954307740152e-13,3.5152147929786805e-11
5350.54966898509,412.18599818246713,883.5083,9.73886026799403e-13,3.5395835515984127e-11
5351.601966152017,398.5393407939231,854.2571,9.416426002836419e-13,3.4189090200953874e-11
5352.654263317943,417.30307482324656,894.4766,9.859763196780818e-13,3.5762313841622635e-11
5353.7065604848685,383.9788847295318,823.0472,9.072401102246273e-13,3.2872998121889726e-11
5354.7588576517965,406.6015018789872,871.5381,9.606913454161102e-13,3.4774361506347455e-11
5355.811154817724,395.6470679134847,848.0576,9.348089277271498e-13,3.380310694961767e-11
5356.86345198465,420.3465511298563,901.0002,9.931672457672069e-13,3.587689965816242e-11
5357.915749151577,383.99036144747015,823.0718,9.072672266606125e-13,3.274060938309102e-11
5358.968046317505,386.6236617210965,828.7162,9.134890157368064e-13,3.2931700031698235e-11
5360.020343484432,384.67555883104944,824.5405,9.088861660724551e-13,3.2732552187047275e-11
5361.072640651357,373.1530739809237,799.8424,8.816615950316465e-13,3.1719922854164835e-11
5362.124937817284,376.7619419326345,807.5779,8.901883913959895e-13,3.199427089062683e-11
5363.17723498421,393.5869037369015,843.6417,9.299413070089929e-13,3.338921367106608e-11
5364.229532151137,383.94870002828753,822.9825,9.071687917933984e-13,3.2538639044139845e-11
5365.281829318064,399.6508096075945,856.6395,9.44268705856444e-13,3.3835124591157794e-11
5366.334126483991,386.96745007267236,829.4531,9.143012962927992e-13,3.272824281425192e-11
5367.386423650917,371.32440360275535,795.9227,8.77340932668604e-13,3.137351546651071e-11
5368.438720817843,363.69849775932335,779.5768,8.593229427918136e-13,3.0698199926798596e-11
5369.491017983772,386.30110063237396,828.0248,9.127268895644442e-13,3.257311773234011e-11
5370.543315150699,355.7354283364585,762.5082,8.405083249358995e-13,2.99655845551763e-11
5371.595612317624,403.37957660443357,864.632,9.53078791816241e-13,3.39447068465067e-11
5372.647909483551,412.3967779046032,883.9601,9.743840432944465e-13,3.466859272106132e-11
5373.700206650478,386.9214032409442,829.3544,9.141924998606154e-13,3.249426873759746e-11
5374.752503817404,396.5571809766607,850.0084,9.369592831466523e-13,3.327002812407362e-11
5375.804800983331,403.1880180521781,864.2214,9.526261898400018e-13,3.3792363942999e-11
5376.857098150258,373.69345944385003,801.0007,8.829383823406528e-13,3.1288902676612456e-11
