Wavelength(A),Flux(erg/s/cm2),Original(erg/s/cm2),Flux_factor(er/s/cm2),Flux_corrected(erg/s/cm2)
3558.614809898269,1326.0088768973285,1569.03,3.1330067550004614e-12,7.976085463011929e-10
3559.792826357077,1107.5816139934918,1310.571,2.6169211525004046e-12,6.652694308025684e-10
3560.9708428168847,1482.4014077694187,1754.085,3.5025207636851983e-12,8.891325120694161e-10
3562.148859276692,1163.8991512920527,1377.21,2.7499845337910592e-12,6.971002581371069e-10
3563.3268757354995,1117.5438152521456,1322.359,2.6404591878648943e-12,6.683809263512707e-10
3564.504892195307,1125.35097636747,1331.5970000000002,2.658905435803234e-12,6.720900290775949e-10
3565.682908654115,1057.6734196153272,1251.516,2.499001346048933e-12,6.307705328346768e-10
3566.860925113923,976.4985506556883,1155.464,2.3072066927718736e-12,5.815300057610035e-10
3568.03894157373,1179.0892264042893,1395.184,2.7858746464175716e-12,7.011780095342606e-10
3569.216958032537,1064.8044897052932,1259.954,2.5158501704810296e-12,6.323142234424075e-10
3570.3949744923448,1115.4800473972398,1319.917,2.6355830526120883e-12,6.614647642070795e-10
3571.572990951153,871.1187778744421,1030.771,2.0582222811919334e-12,5.158274890566774e-10
3572.7510074109605,1177.8333873246863,1393.698,2.7829074322547254e-12,6.964557586041193e-10
3573.9290238707677,991.4900240292261,1173.203,2.342627562243428e-12,5.854380605006379e-10
3575.1070403295757,1006.2634580470856,1190.684,2.37753326263422e-12,5.933181072067064e-10
3576.285056789383,1217.8393835226975,1441.036,2.8774309746778862e-12,7.170502227311466e-10
3577.463073248191,1108.872947851926,1312.099,2.6199722313973283e-12,6.519666352308234e-10
3578.641089707998,956.2935703628567,1131.556,2.2594676912878027e-12,5.614604913633385e-10
3579.819106167806,975.1150993950487,1153.827,2.303937964922223e-12,5.71700523692125e-10
3580.997122626614,1171.3158698402326,1385.986,2.767508269654543e-12,6.857595081396351e-10
3582.175139086421,1129.4810474186274,1336.484,2.668663696646996e-12,6.60331808104805e-10
3583.3531555452287,1230.225371107261,1455.692,2.9066957733122576e-12,7.182138320480384e-10
3584.531172005037,1315.2395919771534,1556.287,3.107561795325395e-12,7.667612037307568e-10
3585.709188464844,1145.264392405616,1355.16,2.7059555484002385e-12,6.667262284969544e-10
3586.8872049236516,1316.145553951133,1557.359,3.1097023428237588e-12,7.651253327537063e-10
3588.0652213834587,1268.1109768269926,1500.521,2.996209396263964e-12,7.361615873147437e-10
3589.2432378422673,1232.887479519609,1458.842,2.912985628368089e-12,7.147051533250343e-10
3590.4212543020744,1154.6257177654827,1366.237,2.728073873623554e-12,6.683941320265457e-10
3591.5992707618816,1269.1597630300796,1501.7620000000004,2.9986873994780233e-12,7.336619161252969e-10
3592.7772872206897,1434.3271102975375,1697.2,3.3889339684944083e-12,8.279736470840096e-10
3593.955303680497,1333.0630416331599,1577.3770000000004,3.149673872508723e-12,7.684364687516365e-10
3595.1333201403045,1027.2603099533678,1215.529,2.4271432463999766e-12,5.913261782511108e-10
3596.311336599113,779.6803400815961,922.5744,1.8421775410224775e-12,4.481803816995257e-10
3597.48935305892,1094.255014769899,1294.802,2.5854339384129732e-12,6.28123162566672e-10
3598.6673695177283,1109.3090265632823,1312.615,2.6210025695588557e-12,6.358712012889169e-10
3599.8453859775354,944.8676320343023,1118.036,2.2324712340322973e-12,5.408517856113783e-10
3601.0234024373426,1350.5915465793546,1598.118,3.1910890736874548e-12,7.720089755330886e-10
3602.201418896151,1309.5612724779253,1549.568,3.0941454346523357e-12,7.475074243651173e-10
3603.3794353559583,896.2516166283534,1060.51,2.1176045032571327e-12,5.108711072287257e-10
3604.5574518147655,1187.1000599410029,1404.6629999999998,2.804802118187168e-12,6.757106356795993e-10
3605.7354682745727,1073.4111284581038,1270.138,2.536185371715502e-12,6.101433678542911e-10
3606.91348473438,924.1445969932904,1093.515,2.183508206786569e-12,5.245639463558512e-10
3608.0915011931893,1220.0442853791476,1443.645,2.882640572087622e-12,6.915556676398574e-10
3609.269517652996,928.8814597397064,1099.12,2.1947001552271833e-12,5.257813982911114e-10
3610.447534111804,970.000470788214,1147.775,2.2918534560974966e-12,5.482903105781061e-10
3611.625550571611,1246.2943645524633,1474.706,2.9446625364968867e-12,7.034824874804061e-10
3612.803567031417,1374.233604622351,1626.0929999999996,3.246948976921388e-12,7.746180018505395e-10
3613.9815834902265,1567.5128167242055,1854.795,3.7036164153273565e-12,8.823335871509695e-10
3615.159599950034,1475.3971047467066,1745.797,3.48597145616052e-12,8.293267124620156e-10
3616.337616408842,1177.7488759465166,1393.598,2.7827077543164456e-12,6.610963623736778e-10
3617.5156328686494,1308.8944777041659,1548.779,3.092569975719304e-12,7.336896131063229e-10
3618.693649328457,984.7460160512774,1165.223,2.3266932627686547e-12,5.51223796078044e-10
3619.871665787265,1159.3068030023069,1371.776,2.7391340346249037e-12,6.480349390206014e-10
3621.0496822470723,1138.2786818861016,1346.894,2.689450170021982e-12,6.353971653690364e-10
3622.22769870588,1355.7112458688796,1604.1760000000004,3.2031855631884785e-12,7.557198385726498e-10
3623.405715165687,1316.657692902842,1557.965,3.1109123911297383e-12,7.329321603409905e-10
3624.583731625495,936.2415556645128,1107.829,2.212090106872021e-12,5.204468718074805e-10
3625.761748084303,1264.2564128686688,1495.96,2.987102085498996e-12,7.018132488994625e-10
3626.93976454411,1283.6534643861971,1518.912,3.0329321658931063e-12,7.11594232233554e-10
3628.117781002918,1391.6057635189313,1646.649,3.2879947739142995e-12,7.703700330820194e-10
3629.295797462725,1589.0074406479075,1880.229,3.754402502149583e-12,8.784315926112215e-10
3630.473813922533,1322.5075704997541,1564.8870000000004,3.124734098017505e-12,7.300949588454236e-10
3631.651830381341,1209.5767060790379,1431.259,2.8579084626522144e-12,6.668283828041242e-10
3632.829846841148,1619.358857003803,1916.143,3.826114836903595e-12,8.915045282680229e-10
3634.007863299956,1856.1943883005813,2196.384,4.3856942879198815e-12,1.0204788502113242e-09
3635.1858797597633,1442.020181052333,1706.303,3.407110651216071e-12,7.916847889948958e-10
3636.3638962195705,1238.4821327544487,1465.4620000000002,2.926204307882249e-12,6.79002581502789e-10
3637.541912678378,1322.2126257899415,1564.5379999999998,3.1240372220129063e-12,7.239090474216505e-10
3638.719929138185,1509.1788379425134,1785.77,3.5657887184293308e-12,8.251344927012673e-10
3639.897945596994,1369.0530571405436,1619.963,3.234708719304802e-12,7.474909699324187e-10
3641.075962056802,1408.311127641752,1666.4160000000004,3.32746511197418e-12,7.678673859378214e-10
3642.253978516609,1368.8451591502458,1619.717,3.2342175115766315e-12,7.453224083839986e-10
3643.4319949754167,1620.5200433398559,1917.517,3.8288584117755685e-12,8.811438337869199e-10
3644.610011435224,1461.9445835696406,1729.879,3.45418672194505e-12,7.938275304099627e-10
3645.7880278950315,1233.00241499392,1458.9779999999996,2.91325719036415e-12,6.685937610256885e-10
3646.966044353839,1156.697091644424,1368.688,2.7329679798908066e-12,6.263563459871658e-10
3648.1440608136463,1191.0949127870886,1409.39,2.814240894329681e-12,6.44098002192946e-10
3649.3220772724544,1156.4993350195066,1368.454,2.732500733515229e-12,6.245324533764813e-10
3650.500093732262,1104.2729935381446,1306.656,2.6091037612167274e-12,5.955118562729008e-10
3651.678110192069,1422.2369125365685,1682.894,3.3603680426440188e-12,7.659325752001341e-10
3652.8561266508773,996.1973077932828,1178.773,2.353749623405645e-12,5.35758272544033e-10
3654.034143110685,1207.2340506761718,1428.487,2.852373390203083e-12,6.483659801153157e-10
3655.212159569493,1186.5794698514771,1404.047,2.8035721020873607e-12,6.364013410733372e-10
3656.3901760292997,1366.0816370840935,1616.447,3.2276880429948623e-12,7.316724704334422e-10
3657.568192489107,1073.0747731729882,1269.74,2.5353906535211473e-12,5.739527512031713e-10
3658.746208947915,1182.3277024157555,1399.016,2.7935263050124762e-12,6.315247963093383e-10
